function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_j0	c:@F@p101_j0	XSI	libraries/lib_math/src/math.c	libraries/lib_math/include/p101_math/math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	j0	c:@F@j0
p101_j1	c:@F@p101_j1	XSI	libraries/lib_math/src/math.c	libraries/lib_math/include/p101_math/math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	j1	c:@F@j1
p101_jn	c:@F@p101_jn	XSI	libraries/lib_math/src/math.c	libraries/lib_math/include/p101_math/math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	jn	c:@F@jn
p101_y0	c:@F@p101_y0	XSI	libraries/lib_math/src/math.c	libraries/lib_math/include/p101_math/math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	y0	c:@F@y0
p101_y1	c:@F@p101_y1	XSI	libraries/lib_math/src/math.c	libraries/lib_math/include/p101_math/math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	y1	c:@F@y1
p101_yn	c:@F@p101_yn	XSI	libraries/lib_math/src/math.c	libraries/lib_math/include/p101_math/math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	yn	c:@F@yn
